begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
06:47.2,06:49.6,30,,,,,Husband_H01_WH,然后无聊的情况下..,Ránhòu wúliáo de qíngkuàng xià..,Then when I felt bored,hostess,self,+ve,judgement,invoke,attitudinal token,,,,,monoglossic,,
06:49.6,06:51.6,30,,,,,Husband_H01_WH,就加她微信..,jiù jiā tā wēixìn..,I added her to my WeChat.,hostess,,,,,,,,,,,,
06:51.6,06:54.0,30,,,,,Husband_H01_WH,然后就这样聊下天,ránhòu jiù zhèyàng liáo xià tiān.,Then we chatted briefly,hostess,self,+ve,judgement,invoke,downscaling,,,,,,,
06:54.0,06:56.4,30,,,,,Husband_H01_WH,实际上这个女人都不在重庆,Shíjì shang zhège nǚrén dōu bùzài chóngqìng.,In fact.. this woman was not in Chongqing.,hostess,self,+ve,judgement,invoke,counter-expectancy,,不,,,contract:proclaim,实际上,
06:56.4,06:58.1,30,,,,,Husband_H01_WH,外面做生意,Wàimiàn zuò shēngyì.,She did business elsewhere.,hostess,self,+ve,judgement,invoke,contrast,,,,,,,
06:58.1,07:00.3,30,,,,,Husband_H01_WH,我怎么解释她都不相信,Wǒ zěnme jiěshì tā dōu bù xiāngxìn.,No matter how hard I explained that to her.. she would not believe it.,hostess,antagonist,-ve,judgement,invoke,counter-expectancy,,不,up:isolated,怎么解释,contract:proclaim,怎么都,
07:00.3,07:04.9,30,,,,,Husband_H01_WH,快一年了她都说我继续跟那个女的在保持联系,Kuài yī niánle tā dōu shuō wǒ jìxù gēn nàgè nǚ de zài bǎochí liánxì.,Almost a year has passed.. she is still saying that I continue to keep in touch with that woman.,hostess,antagonist,-ve,judgement,invoke,quotation:other,,说,up:isolated,快一年,contract:disclaim,都,
07:04.9,07:05.9,30,,,,,Husband_H01_WH,我可以说..,Wǒ kěyǐ shuō..,I can say..,hostess,,,,,,,,,,,,
07:05.9,07:09.4,30,,,,,Husband_H01_WH,现在根本就没有记对方的那个电话号码,xiànzài gēnběn jiù méiyǒu jì duìfāng dì nàgè diànhuà hàomǎ.,Now I don't have that woman's phone number at all.,hostess,self,+ve,judgement,invoke,denial,,没有,up:isolated,根本,contract:proclaim,我可以,
,,,,,,,Husband_H01_WH,[因为我],,,,,,,,,,,,,,,
07:09.4,07:10.3,31,O,I,S,Wife_H01_AW,Wife_H01_AW,[他撒谎],Tā sāhuǎng.,He's lying.,hostess,antagonist,-ve,judgement,inscribe,,,撒谎,,,monoglossic,,
07:10.3,07:12.3,32,O,I,S,Husband_H01_WH,Husband_H01_WH,我有必要撒谎吗,Wǒ yǒu bìyào sāhuǎng ma,Do I need to lie,antagonist,antagonist,-ve,judgement,invoke,rhetorical question,,有必要吗,,,contract:proclaim,有必要吗,
07:12.3,07:13.2,33,,I,S,Wife_H01_AW,Wife_H01_AW,你就是撒谎,Nǐ jiùshì sāhuǎng.,You are lying.,antagonist,antagonist,-ve,judgement,inscribe,,,撒谎,up:isolated,就是,contract:proclaim,就,
07:13.2,07:39.8,33,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,
07:39.8,07:44.6,34,,,,Wife_H01_AW,Wife_H01_AW,这个事出来了嘛..我就要..偶尔要看他的电话,Zhège shì chūláile ma.. wǒ jiù yào.. ǒu'ěr yào kàn tā de diànhuà.,After this incident.. I will.. occasionally check his phone.,hostess,,,,,,,,,,,,
07:44.6,07:45.8,34,O,,,,Wife_H01_AW,他通话记录,Tā tōnghuà jìlù.,He has a call history.,hostess,,,,,,,,,,,,
07:45.8,07:46.8,35,O,I,S,Hostess_H01,Hostess_H01,查他的电话..是吗,Chá tā de diànhuà.. shì ma,You check his phone.. right,wife,,,,,,,,,,,,
07:46.8,07:51.2,36,O,I,S,Wife_H01_AW,Wife_H01_AW,哎..就看见他的陌生电话里面有一个陌生号码,Āi.. jiù kànjiàn tā de mòshēng diànhuà li miàn yǒu yīgè mòshēng hàomǎ.,Yeah. I saw an unknown number.. in his unknown call history.,hostess,,,,,,,,,,,,
07:51.2,07:52.7,36,,,,,Wife_H01_AW,他打过去的,Tā dǎ guòqù de.,He called out.,hostess,,,,,,,,,,,,
07:52.7,07:55.8,36,,,,,Wife_H01_AW,一段时间里面反复地打那个陌生电话,Yīduàn shíjiān lǐmiàn fǎnfù dì dǎ nàgè mòshēng diànhuà.,In a period of time.. he called the unknown number for a lot of times.,hostess,antagonist,-ve,judgement,invoke,evoke,,打陌生电话,up:isolated,反反复复,monoglossic,,
07:55.8,07:58.5,36,,,,,Wife_H01_AW,因为有这个事情存在..我就怀疑他,Yīnwèi yǒu zhège shìqíng cúnzài.. wǒ jiù huáiyí tā.,Because of this thing.. I suspected him.,hostess,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,怀疑,,,contract:proclaim,因为,
07:58.5,08:00.5,36,,,,,Wife_H01_AW,我就用我的手机打过去,Wǒ jiù yòng wǒ de shǒujī dǎ guòqù.,I called the number with my phone.,hostess,,,,,,,,,,,,
08:00.5,08:01.6,36,,,,,Wife_H01_AW,一直不接,Yīzhí bù jiē.,Never answered.,hostess,,,,,,,,,,,,
08:03.0,08:04.8,36,,,,,Wife_H01_AW,要么是接了..不说话,Yàome shì jiēle.. bù shuōhuà.,Or it was picked up but no one spoke there.,hostess,,,,,,,,,,,,
08:06.2,08:07.7,36,,,,,Wife_H01_AW,你说没有这些事..,Nǐ shuō méiyǒu zhèxiē shì..,You say.. if there is no such a thing..,hostess,,,,,,,,,,,,
08:07.7,08:10.4,36,,,,,Wife_H01_AW,你一个陌生电话反复地联系,nǐ yīgè mòshēng diànhuà fǎnfù dì liánxì.,why did you call an unknown number repeatedly,hostess,antagonist,-ve,judgement,invoke,contrast,,你说(if),up:isolated,反反复复,expand:entertain,你说(if),
08:10.5,08:14.6,37,,I,S,Hostess_H01,Hostess_H01,到现在为止..你都不知道这个陌生号码到底是谁,Dào xiànzài wéizhǐ.. nǐ dōu bù zhīdào zhège mòshēng hàomǎ dàodǐ shì shéi,Until now.. you do not know who this strange number is,wife,,,,,,,,,,,,
08:14.6,08:15.0,38,,,,Wife_H01_AW,Wife_H01_AW,对,Duì,No.. I don't know.,hostess,,,,,,,,,,,,
08:15.0,08:16.1,39,,I,S,Hostess_H01,Hostess_H01,从来没有打通过,cónglái méiyǒu dǎ tōngguò,Never got through,wife,,,,,,,,,,,,
08:16.1,08:16.7,40,,,,Wife_H01_AW,Wife_H01_AW,没有,Méiyǒu.,Never. ,hostess,,,,,,,,,,,,
08:17.4,08:22.5,41,,I,S,Husband_H01_WH,Husband_H01_WH,那电话是有一次我在上班开车的过程当中,Nà diànhuà shì yǒu yīcì wǒ zài shàngbān kāichē de guòchéng dāngzhōng.,That number.. it was once when I was driving to work.,hostess,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
08:22.5,08:23.8,41,,,,,Husband_H01_WH,响了一下那个电话,Xiǎngle yīxià nàgè diànhuà.,The number called me.,hostess,,,,,,,,,,,,
08:23.8,08:25.1,41,,,,,Husband_H01_WH,我的工作性质是..,Wǒ de gōngzuò xìngzhì shì..,The nature of my work is..,hostess,,,,,,,,,,,,
08:25.1,08:28.3,41,O,,,,Husband_H01_WH,有[可能]这个找我[开车],yǒu kěnéng zhège zhǎo wǒ kāichē.,it is possible that this person asks me to drive for him.,hostess,,,,,,,,,,,,
08:25.3,08:25.5,42,O,,,Hostess_H01,Hostess_H01,[嗯],Ń.,Mhm.,husband,,,,,,,,,,,,
08:27.9,08:28.3,42,O,,,,Hostess_H01,[明白],Míngbái.,I see.,husband,,,,,,,,,,,,
08:28.3,08:29.6,43,O,,,Husband_H01_WH,Husband_H01_WH,那个找我[开车],Nàgè zhǎo wǒ kāichē.,Or that person asks me to drive for him.,hostess,,,,,,,,,,,,
08:29.3,08:29.7,44,O,,,Hostess_H01,Hostess_H01,[嗯],Ń.,Mhm.,husband,,,,,,,,,,,,
08:29.6,08:31.8,45,O,,,Husband_H01_WH,Husband_H01_WH,然后我就打过去,Ránhòu wǒ jiù dǎ guòqù.,Then I called back.,hostess,,,,,,,,,,,,
08:31.8,08:33.8,45,,,,,Husband_H01_WH,打过去然后对方也没接,Dǎ guòqù ránhòu duìfāng yě méi jiē.,I called but no one answered.,hostess,,,,,,,,,,,,
08:33.8,08:35.6,45,,,,,Husband_H01_WH,打了几次..,Dǎle jǐ cì..,I called a few times.,hostess,,,,,,,,,,,,
08:35.6,08:36.1,45,,,,,Husband_H01_WH,都没接,dōu méi jiē.,No one answered.,hostess,,,,,,,,,,,,
08:36.1,08:37.5,45,,,,,Husband_H01_WH,没接就算了嘛,Méi jiē jiùsuànle ma.,It's ok that no one answered. ,hostess,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
08:37.5,08:40.6,45,,,,,Husband_H01_WH,那个电话可能有几天了吧,Nàgè diànhuà kěnéng yǒu jǐ tiānle ba.,After perhaps several days..,hostess,antagonist,-ve,judgement,invoke,up-scaling,,几天,,,expand:entertain,可能,
08:40.6,08:41.4,45,,,,,Husband_H01_WH,她看见了,Tā kànjiànle.,she saw it.,hostess,,,,,,,,,,,,
08:41.4,08:43.0,46,,I,S,Wife_H01_AW,Wife_H01_AW,全是说谎,Quán shì shuōhuǎng.,All are lies,antagonist,antagonist,-ve,judgement,inscribe,,,说谎,up:isolated,全是,monoglossic,,
08:43.0,08:45.3,46,,,,,Wife_H01_AW,你手机里面的那么多陌生电话,Nǐ shǒujī lǐmiàn dì nàme duō mòshēng diànhuà.,There are so many unknown numbers on your phone,antagonist,antagonist,-ve,judgement,invoke,up-scaling,,那么多,,,monoglossic,,
08:45.3,08:46.9,46,,,,,Wife_H01_AW,为什么有陌生电话,Wèishéme yǒu mòshēng diànhuà,Why do you have unknown numbers,antagonist,antagonist,-ve,judgement,invoke,rhetorical question,,为什么,,,contract:proclaim,为什么,
08:46.9,08:49.9,47,,I,S,Husband_H01_WH,Husband_H01_WH,我如果说有那么回事的话,Wǒ rúguǒ shuō yǒu nàme huí shì dehuà..,I.. if.. I had such problems,antagonist,,,,,,,,,,,,
08:49.9,08:52.2,47,,,,,Husband_H01_WH,那我就不是一个傻子吗,nà wǒ jiù bùshì yīgè shǎzi ma,Then wasn't it that I am a fool,antagonist,self,+ve,judgement,invoke,rhetorical question,,吗,,,contract:proclaim,吗,
08:52.2,08:55.5,47,,,,,Husband_H01_WH,有问题我不知道通过话,Yǒu wèntí wǒ bù zhīdào tōngguò huà..,If there was an issue.. didn’t I know that after the call..,antagonist,,,,,,,,,,,,
08:55.5,08:56.5,47,,,,,Husband_H01_WH,我把它删掉吗,wǒ bǎ tā shān diào ma,I should delete the number,antagonist,self,+ve,judgement,invoke,rhetorical question,,吗,,,contract:proclaim,吗,
08:56.5,08:59.2,47,,,,,Husband_H01_WH,我坦坦然然的,Wǒ tǎntǎn ránrán de..,I am honest and calm,antagonist,self,+ve,judgement,inscribe,,,坦坦然然,up:infused,坦坦然然,monoglossic,,
08:59.2,09:00.8,47,,,,,Husband_H01_WH,随时可以查,suíshí kěyǐ chá.,I can be checked any time,antagonist,self,+ve,judgement,invoke,up-scaling,,随时,,,monoglossic,,
09:00.8,09:02.3,47,,,,,Husband_H01_WH,你认为有问题的,Nǐ rènwéi yǒu wèntí de..,If you think there is a problem,antagonist,,,,,,,,,,,,
09:02.3,09:03.5,47,,,,,Husband_H01_WH,你随时可以打,nǐ suíshí kěyǐ dǎ.,You can call the numbers any time,antagonist,self,+ve,judgement,invoke,up-scaling,,随时,,,monoglossic,,
09:03.5,09:05.6,48,,I,S,Wife_H01_AW,Wife_H01_AW,因为你很聪明,Yīnwèi nǐ hěn cōngmíng.,Because you are smart.,antagonist,antagonist,+ve,judgement,inscribe,,,聪明,up:isolated,很,contract:proclaim,因为,
09:07.3,09:08.9,48,,,,,Wife_H01_AW,因为你太聪明了,Yīnwèi nǐ tài cōngmíngliǎo.,Because you are too smart.,antagonist,antagonist,-ve,judgement,inscribe,,,太聪明,up:isolated,太……了,contract:proclaim,因为,
09:08.9,09:10.8,48,O,,,,Wife_H01_AW,[你发现]什么电话不对,Nǐ fāxiàn shénme diànhuà bùduì..,If you suspect a call..,antagonist,,,,,,,,,,,,
09:08.9,09:09.5,49,O,I,,Husband_H01_WH,Husband_H01_WH,[是啊],shì a.,Yes.,antagonist,,,,,,,,,,,,
09:10.8,09:12.3,50,,I,S,Wife_H01_AW,Wife_H01_AW,你打过去嘛,Nǐ dǎ guòqù ma.,You call it.,antagonist,,,,,,,,,,,,
09:12.3,09:13.6,50,,,,,Wife_H01_AW,当你打过去,Dāng nǐ dǎ guòqù..,When you call it..,husband,,,,,,,,,,,,
09:13.6,09:15.4,50,O,,,,Wife_H01_AW,别人[对方听],biérén duìfāng tīng..,When the other end hears..,husband,,,,,,,,,,,,
09:14.5,09:15.4,51,O,I,,Husband_H01_WH,Husband_H01_WH,[那得有的],nà dé yǒu de……,That should,antagonist,,,,,,,,,,,,
09:15.4,09:17.2,52,O,I,S,Wife_H01_AW,Wife_H01_AW,不是他的[声音],bùshì tā de shēngyīn..,it's not his voice..,hostess,,,,,,,,,,,,
09:16.9,09:17.7,53,O,I,,Husband_H01_WH,Husband_H01_WH,[不是..我],bùshì.. wǒ……,Not.. I……,antagonist,,,,,,,,,,,,
09:17.3,09:18.8,54,,I,S,Wife_H01_AW,Wife_H01_AW,[她就]不说话,tā jiù bù shuōhuà.,She will not speak.,hostess,antagonist,-ve,judgement,invoke,denial,,不,,,monoglossic,,
09:19.3,09:20.5,55,,I,S,Husband_H01_WH,Husband_H01_WH,呵呵,Hēhē.,Heh heh.,,,,,,,,,,,,,
09:21.3,09:23.0,55,,,,,Husband_H01_WH,真无法解释啊,Zhēn wúfǎ jiěshì a,I really can't explain it to her,hostess,antagonist,-ve,judgement,invoke,denial,,无法解释,up:isolated,真,contract:proclaim,真,啊
09:23.0,09:25.6,55,,,,,Husband_H01_WH,实际上我的生活方式啊..,Shíjì shang wǒ de shēnghuó fāngshì a..,Actually my lifestyle is..,hostess,,,,,,,,,,,,
09:25.6,09:28.0,55,,,,,Husband_H01_WH,比方说我今天上班啊..,bǐfāng shuō wǒ jīntiān shàngbān a..,Let's say if I work today..,hostess,,,,,,,,,,,,
09:28.0,09:29.4,55,,,,,Husband_H01_WH,我就上班,wǒ jiù shàngbān.,I will go to work.,hostess,,,,,,,,,,,,
09:29.4,09:31.4,55,,,,,Husband_H01_WH,不上班的话..,Bù shàngbān dehuà..,If I don’t work..,hostess,,,,,,,,,,,,
09:31.4,09:33.0,55,,,,,Husband_H01_WH,我都在家里面的,wǒ dū zàijiā lǐmiàn de.,I stay at home.,hostess,self,+ve,judgement,invoke,up-scaling,,都,,,contract:proclaim,实际上,
09:32.9,09:35.3,56,,I,S,Wife_H01_AW,Wife_H01_AW,你自己心里最清楚,Nǐ zìjǐ xīnlǐ zuì qīngchǔ.,You yourself know it very well.,antagonist,antagonist,-ve,judgement,invoke,quotation:other,,你心里,up:isolated,最,contract:proclaim,你心里清楚,
09:35.3,09:37.9,56,,,,,Wife_H01_AW,能看见的是你都在家..,Néng kànjiàn de shì nǐ dōu zàijiā..,What you can see is that you are at home.,antagonist,,,,,,,,,,,,
09:37.9,09:39.0,56,,,,,Wife_H01_AW,看不到的呢,kàn bù dào de ne,What about when you are not at home,antagonist,antagonist,-ve,judgement,invoke,rhetorical question,,呢,,,contract:proclaim,呢,
09:39.0,09:40.8,57,,I,S,Husband_H01_WH,Husband_H01_WH,呵呵,Hēhē.,Heh heh.,,,,,,,,,,,,,
09:41.4,09:42.5,57,,,,,Husband_H01_WH,实际上在她的心里就,Shíjì shang zài tā de xīnlǐ jiù..,Actually in her mind.. it's…,hostess,antagonist,-ve,judgement,invoke,quotation:other,,她心里,,,contract:proclaim,实际上,
09:42.5,09:44.7,57,,,,,Husband_H01_WH,我认为啊就是,wǒ rènwéi a jiùshì..,I think it's..,hostess,,,,,,,,,,,,
09:44.7,09:48.4,57,,,,,Husband_H01_WH,我随时随地要观察你的一言一行,wǒ suíshí suídì yào guānchá nǐ de yī yán yīxíng.,I want to track your behaviour anytime.. anywhere.,hostess,antagonist,-ve,judgement,invoke,up-scaling,,随时随地,up:isolated,一言一行,expand:entertain,我认为,啊
09:48.4,09:50.0,57,,,,,Husband_H01_WH,我开车,Wǒ kāichē..,When I drive..,hostess,,,,,,,,,,,,
09:50.0,09:51.3,57,,,,,Husband_H01_WH,有乘客没乘客,yǒu chéngkè méi chéngkè..,No matter there are passengers or not..,hostess,,,,,,,,,,,,
09:51.3,09:53.5,57,,,,,Husband_H01_WH,一个小时晚上天黑了过后,yīgè xiǎoshí wǎnshàng tiān hēile guòhòu..,Every hour after sunset..,hostess,,,,,,,,,,,,
09:53.5,09:55.5,57,,,,,Husband_H01_WH,一个小时视频一次,yīgè xiǎoshí shìpín yīcì.,She video calls me every hour,hostess,antagonist,-ve,judgement,invoke,up-scaling,,一个小时一次,,,monoglossic,,
09:55.5,09:56.6,58,,I,S,Wife_H01_AW,Wife_H01_AW,不是这样的,Bùshì zhèyàng de.,It's not true.,hostess,self,+ve,judgement,invoke,denial,,不,,,contract:proclaim,是……的,
09:56.6,09:59.3,58,,,,,Wife_H01_AW,视频的事情是他自己提出来,Shìpín de shìqíng shì tā zìjǐ tí chūlái.,It's he who proposed the video call thing.,hostess,self,+ve,judgement,invoke,contrast,,是,,,contract:proclaim,是……的,
09:59.3,10:02.5,58,,,,,Wife_H01_AW,因为那个事情他说我一直在纠结不放心,Yīnwèi nàgè shìqíng tā shuō wǒ yīzhí zài jiūjié bù fàngxīn.,Because of that incident.. he said that I had been entangled and didn't trust him.,hostess,self,+ve,judgement,invoke,quotation:other,,他说,,,monoglossic,,
10:02.5,10:04.3,58,,,,,Wife_H01_AW,他说你既然这样不放心,Tā shuō nǐ jìrán zhèyàng bù fàngxīn..,He said that since you don't trust me..,hostess,,,,,,,,,,,,
10:04.3,10:06.6,58,O,,,,Wife_H01_AW,那么我们[就]视频,nàme wǒmen jiùshìpín.,then we can have video calls,hostess,self,+ve,judgement,invoke,quotation:self,,他说,,,monoglossic,,
10:05.2,10:05.7,59,O,,,Husband_H01_WH,Husband_H01_WH,[唉],Āi,Aww.,,,,,,,,,,,,,
10:06.7,10:08.5,60,,,,Wife_H01_AW,Wife_H01_AW,意思说让我看他在做什么,yìsi shuō ràng wǒ kàn tā zài zuò shénme.,It meant he wanted me to see what he was doing.,hostess,self,+ve,judgement,invoke,quotation:other,,意思是,,,expand:entertain,意思是,
10:08.5,10:09.4,60,,,,,Wife_H01_AW,让我放心,Ràng wǒ fàngxīn.,Let me feeling assured.,hostess,,,,,,,,,,,,
10:09.4,10:11.9,60,,,,,Wife_H01_AW,并不是说我要要求他视频,Bìng bùshì shuō wǒ yào yāoqiú tā shìpín.,It's not that I requested a video chat with him.,hostess,self,+ve,judgement,invoke,denial,,不,,,contract:disclaim,并,
10:11.8,10:13.2,61,,I,S,Husband_H01_WH,Husband_H01_WH,我只是说..,Wǒ zhǐshì shuō..,What I meant was..,antagonist,,,,,,,,,,,,
10:13.2,10:15.0,61,,,,,Husband_H01_WH,你对我不放心,nǐ duì wǒ bù fàngxīn.,since you don't trust me..,antagonist,antagonist,-ve,judgement,invoke,quotation:other,,我说,,,expand:entertain,我说,
10:15.0,10:18.6,61,,,,,Husband_H01_WH,我给你一个所谓的安全感..对吧,Wǒ gěi nǐ yīgè suǒwèi de ānquán gǎn.. duì ba,I gave you a so-called sense of security.. Is that right,antagonist,self,+ve,judgement,inscribe,,,给你安全感,down:isolated,所谓的,expand:entertain,对吧,对吧
10:18.6,10:19.7,61,,,,,Husband_H01_WH,你不说的吗,Nǐ bù shuō de ma,Didn't you say that,antagonist,antagonist,-ve,judgement,invoke,rhetorical question,,吗,,,contract:proclaim,吗,你说
10:19.7,10:20.4,61,,,,,Husband_H01_WH,那开车多快啊,Nà kāichē duō kuài a,You can very fast,antagonist,,,,,,,,,,,,
10:20.4,10:22.2,61,,,,,Husband_H01_WH,一会儿就不在了,Yīhuǐ'er jiù bùzàile.,You can disappear in the blink of an eye.,antagonist,,,,,,,,,,,,
10:22.2,10:23.5,61,,,,,Husband_H01_WH,到哪个地方谁也不知道,Dào nǎge dìfāng shéi yě bù zhīdào.,No one knows where you have been.,antagonist,antagonist,-ve,judgement,invoke,quotation:other,,你说,,,monoglossic,,
10:23.5,10:25.7,61,,,,,Husband_H01_WH,那我说那电话视频吧,Nà wǒ shuō nà diànhuà shìpín ba.,Then I said let's do video chats.,antagonist,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,吧
10:25.7,10:26.8,61,,,,,Husband_H01_WH,我都这样表态了,Wǒ dū zhèyàng biǎotàile.,I made this kind gesture.,antagonist,self,+ve,judgement,invoke,proclaim,,表态,,,contract:proclaim,都,
10:26.8,10:28.7,61,,,,,Husband_H01_WH,那你的态度就是..,Nà nǐ de tàidù jiù shì..,Then your attitude was..,antagonist,antagonist,-ve,judgement,invoke,quotation:other,,你的态度,,,contract:proclaim,就,
10:28.7,10:29.8,61,,,,,Husband_H01_WH,那正好,nà zhènghǎo.,That's perfect.,antagonist,,,,,,,,,,,,
10:29.8,10:31.8,61,,,,,Husband_H01_WH,正合我意,Zhèng hé wǒ yì.,That's exactly what I want.,antagonist,antagonist,-ve,judgement,invoke,contrast,,我/你,,,contract:proclaim,就,
10:31.8,10:35.7,61,O,,,,Husband_H01_WH,[那]手机定位不是我要求你定位的吧,Nà shǒujī dìngwèi bùshì wǒ yāoqiú nǐ dìngwèi de ba,About the mobile phone tracking.. it wasn't me who I asked you to track me.. right,antagonist,antagonist,-ve,judgement,invoke,rhetorical question,,吧,,,contract:proclaim,不是……吧,吧
10:33.1,10:33.7,62,O,I,,Wife_H01_AW,Wife_H01_AW,[你],nǐ,You,antagonist,,,,,,,,,,,,
10:38.6,10:40.6,62,,I,S,,Wife_H01_AW,那你觉得要让我放心..,Nà nǐ juédé yào ràng wǒ fàngxīn..,If you want to make me feel assured..,antagonist,,,,,,,,,,,,
10:40.6,10:43.2,62,,,,,Wife_H01_AW,我给你弄个手机定位..,wǒ gěi nǐ nòng gè shǒujī dìngwèi..,I set up tracking on your mobile phone.,antagonist,,,,,,,,,,,,
10:43.2,10:45.0,62,,,,,Wife_H01_AW,你没说我要让我老婆放心..,nǐ méi shuō wǒ yào ràng wǒ lǎopó fàngxīn..,You didn't say that I wanted to make my wife assured.,antagonist,antagonist,-ve,judgement,invoke,denial,,没,,,monoglossic,,
10:45.0,10:47.2,62,,,,,Wife_H01_AW,我就不计较这些,wǒ jiù bù jìjiào zhèxiē.,I wouldn't care about these.,antagonist,antagonist,-ve,judgement,invoke,denial,,不,,,contract:proclaim,就,
10:48.2,10:49.6,62,,,,,Wife_H01_AW,还是没有安全感,Háishì méiyǒu ānquán gǎn.,I have no sense of security.. nevertheless.,antagonist,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,没有安全感,,,contract:disclaim,还是,
10:49.6,10:51.5,62,,,,,Wife_H01_AW,我就私自在他手机上..,Wǒ jiù sī zìzài tā shǒujī shàng..,I secretly on his mobile phone..,hostess,self,-ve,judgement,invoke,evoke,,,,,monoglossic,,
10:51.5,10:54.1,62,,,,,Wife_H01_AW,下了个定位软件,xiàle gè dìngwèi ruǎnjiàn.,downloaded a positioning software.,hostess,,,,,,,,,,,,
10:54.1,10:56.1,62,,,,,Wife_H01_AW,我下了过后他不知道,Wǒ xiàle guòhòu tā bù zhīdào.,He didn't know about it.,hostess,,,,,,,,,,,,
10:56.1,10:58.5,62,,,,,Wife_H01_AW,好..我下了观察几天过后..,Hǎo.. wǒ xiàle guānchá jǐ tiān guòhòu..,Ok.. after I tracked him for a few days.,hostess,,,,,,,,,,,,
10:58.5,10:59.8,62,,,,,Wife_H01_AW,觉得他不正常,juédé tā bù zhèngcháng.,I felt something abnormal about him.,hostess,antagonist,-ve,judgement,inscribe,,,不正常,,,expand:entertain,觉得,
11:01.5,11:04.8,62,,,,,Wife_H01_AW,那天中午去了某一个地方,Nèitiān zhōngwǔ qùle mǒu yīgè dìfāng.,He went to one place at noon that day.,hostess,,,,,,,,,,,,
11:04.8,11:07.4,62,,,,,Wife_H01_AW,到晚上又去了另一个地方,Dào wǎnshàng yòu qùle lìng yīgè dìfāng.,He went to another place at night that day.,hostess,,,,,,,,,,,,
11:07.4,11:11.6,62,,,,,Wife_H01_AW,晚上他去的地方就是那个女人租的地方,Wǎnshàng tā qù dì dìfāng jiùshì nàgè nǚrén zū dì dìfāng.,The place where he went at night was the place where the woman lived.,hostess,antagonist,-ve,judgement,invoke,proclaim,,,,,contract:proclaim,就,
11:11.6,11:13.2,62,,,,,Wife_H01_AW,租房子租的地方,Zū fángzi zū dì dìfāng.,She rented a place there.,hostess,,,,,,,,,,,,
11:14.6,11:19.3,63,O,I,S,Hostess_H01,Hostess_H01,你追踪的结果..是再次[证实了]你自己心里的想法..是吗,Nǐ zhuīzōng de jiéguǒ.. shì zàicì zhèngshíle nǐ zìjǐ xīnlǐ de xiǎngfǎ.. shì ma,So the result of your tracking is to confirm your suspicion again.. isn't it,wife,,,,,,,,,,,,
11:17.4,11:19.0,64,O,,,Husband_H01_WH,Husband_H01_WH,[唉],Āi,Aww.,,,,,,,,,,,,,
11:19.3,11:19.7,65,,,,Wife_H01_AW,Wife_H01_AW,对,Duì.,Correct.,hostess,,,,,,,,,,,,
11:20.2,11:21.3,66,,I,S,Husband_H01_WH,Husband_H01_WH,这个定位器啊,Zhège dìngwèi qì a.,About this tracker.,hostess,,,,,,,,,,,,
11:21.3,11:22.8,66,,,,,Husband_H01_WH,我开车,Wǒ kāichē.,I was driving.,hostess,,,,,,,,,,,,
11:22.8,11:24.7,66,,,,,Husband_H01_WH,晚上十二点多了吧..,Wǎnshàng shí'èr diǎn duōle ba..,After twelve o'clock at night.,hostess,,,,,,,,,,,,
11:24.7,11:26.2,66,,,,,Husband_H01_WH,她给我打电话,tā gěi wǒ dǎ diànhuà.,She called me.,hostess,,,,,,,,,,,,
11:26.2,11:27.8,66,,,,,Husband_H01_WH,她问我在哪个地方,Tā wèn wǒ zài nǎge dìfāng.,She asked where I was.,hostess,,,,,,,,,,,,
11:27.8,11:28.8,66,,,,,Husband_H01_WH,我说在哪个地方哪个地方,Wǒ shuō zài nǎge dìfāng nǎge dìfāng.,I said I was where and where.,hostess,,,,,,,,,,,,
11:28.8,11:29.5,66,,,,,Husband_H01_WH,她也知道,Tā yě zhīdào.,She also knew the place.,hostess,,,,,,,,,,,,
11:29.5,11:31.0,66,,,,,Husband_H01_WH,那条路就是盘山公路,Nà tiáo lù jiùshì pánshān gōnglù.,That road was a winding mountain road.,hostess,,,,,,,,,,,,
11:30.9,11:31.3,67,,,,Hostess_H01,Hostess_H01,嗯,Ń.,Mhm.,husband,,,,,,,,,,,,
11:31.0,11:36.6,68,O,,,Husband_H01_WH,Husband_H01_WH,那盘山公路你开车肯定得小心啊..[对吧],Nà pánshān gōnglù nǐ kāichē kěndìng dé xiǎoxīn a.. duì ba,You must be careful when driving on a winding mountain road.. Is that right,hostess,self,+ve,judgement,invoke,directive,,得,,,expand:entertain,对吧,啊
11:36.4,11:36.6,69,O,,,Hostess_H01,Hostess_H01,[嗯],Ń.,Mhm.,husband,,,,,,,,,,,,
11:36.6,11:39.2,70,,,,Husband_H01_WH,Husband_H01_WH,我一只手接电话不能挂,Wǒ yī zhī shǒu jiē diànhuà bùnéng guà.,I used one hand to hold the phone. I couldn't hang up the phone.,hostess,self,+ve,judgement,invoke,denial,,不,,,monoglossic,,
